Name	Type	Url	Location	Operated By	Funded By
Wide-field Infrared Survey Explorer (WISE)	Space Telescope	https://www.nasa.gov/mission_pages/WISE/main/index.html	Space	NASA / JPL	
GEO600	Gravity Wave Observatory	http://www.geo600.org/	Sarstedt, Ruthe, Germany	Max Planck Institute for Gravitational Physics, Max Planck Institute of Quantum Optics and the Leibniz Universität Hannover	Max Planck Society and the Science and Technology Facilities Council (STFC)
Kamioka Gravitational Wave Detector (KAGRA)	Gravity Wave Observatory	http://gwcenter.icrr.u-tokyo.ac.jp/en/	Gifu Prefecture, Japan	Kamioka Observatory	Kamioka Observatory
Thai National Observatory (TNO)	Astronomical Observatory	http://www.narit.or.th/en/index.php/facilities/thai-national-observatory-tno/overview	 Chiang Mai, Thailand	National Astronomical Research Institute of Thailand	National Astronomical Research Institute of Thailand
Yunnan Astronomical Observatory	Astronomical Observatory	http://www.ynao.ac.cn/	Phoenix Hill, Kunming	Chinese Academy of Sciences	Chinese Academy of Sciences
T13 Automated Spectroscopic Telescope	Astronomical Observatory	http://schwab.tsuniv.edu/t13.html	Fairborn Observatory, Arizona, USA	NASA, NSF, and Tennessee State University	NASA, NSF, and Tennessee State University
Sloan Digital Sky Survey	Astronomical Observatory	http://www.sdss.org/	Apache Point Observatory, New Mexico, USA	Institutions, the National Science Foundation, and the U.S. Department of Energy Office of Science.	Alfred P. Sloan Foundation
Xinglong Station (NAOC)	Astronomical Observatory	http://www.xinglong-naoc.org/html/index.html	Yanshan, Hebei province, China	National Astronomical Observatory of China	National Astronomical Observatory of China
Guillermo Haro Observatory	Astronomical Observatory	http://astro.inaoep.mx/observatorios/cananea/	Cananea, Sonora, Mexico	National Institute of Astrophysics, Optics and Electronics	National Institute of Astrophysics, Optics and Electronics
Vainu Bappu Observatory	Astronomical Observatory	https://www.iiap.res.in//vbo/vbo.html	Kavalur, Vellore, Tamil Nadu, India	Indian Institute of Astrophysics	Indian Institute of Astrophysics
La Silla Observatory	Astronomical Observatory	http://www.ls.eso.org/index.html	Atacama Desert, Coquimbo Region, Chile	European Southern Observatory (ESO)	European Southern Observatory (ESO)
Byurakan Observatory	Astronomical Observatory	http://www.bao.am/	Mount Aragats, Armenia	Armenian Academy of Sciences	Armenian Academy of Sciences
Irenee du Pont Telescope	Astronomical Observatory	http://www.lco.cl/telescopes-information/irenee-du-pont	Atacama Region, Chile	Carnegie Institution for Science	Carnegie Institution for Science
Swope Telescope	Astronomical Observatory	http://www.lco.cl/telescopes-information/henrietta-swope	Atacama Region, Chile	Carnegie Institution for Science	Carnegie Institution for Science
